url;nazwa;lokalizacja
"http://knajpy.krakow.pl/lokal/179";"Moliere Centrum Kultury i Sztuki";"ul. Szewska 4"
"http://knajpy.krakow.pl/lokal/308";"Gold Club Go-Go";"ul. Ksiêcia Józefa 71"
"http://knajpy.krakow.pl/lokal/220";"Gwarek - studencki klub muzyczny";"ul. Reymonta 17"
"http://knajpy.krakow.pl/lokal/284";"Indigo";"ul. Floriañska 26"
"http://knajpy.krakow.pl/lokal/197";"Inkwizytor";"ul. Kanonicza 1"
"http://knajpy.krakow.pl/lokal/169";"Irish Pub Pod Papugami";"ul. Œw. Jana 18"
"http://knajpy.krakow.pl/lokal/64";"MS Grill bar";"ul. Kurniki 6"
"http://knajpy.krakow.pl/lokal/356";"Hedonic Club & Lounge";"ul. Szewska 9 (1 piêtro)"
"http://knajpy.krakow.pl/lokal/348";"Hell & Heaven";"ul. Brzozowa 8"
"http://knajpy.krakow.pl/lokal/30";"Huœtawka";"ul. Œw. Tomasza 9"
"http://knajpy.krakow.pl/lokal/215";"El Fuego";"ul. Estery 5"
"http://knajpy.krakow.pl/lokal/327";"Enso Lounge";"ul. Karmelicka 52"
"http://knajpy.krakow.pl/lokal/302";"Fantasy Park";"ul. Aleja Pokoju 44"
"http://knajpy.krakow.pl/lokal/286";"Filmowa Cafe";"al. Krasiñskiego 34"
"http://knajpy.krakow.pl/lokal/307";"Folia Concept Club";"Rynek G³ówny 30"
"http://knajpy.krakow.pl/lokal/50";"De Cafencja";"ul. S³awkowska 4"
"http://knajpy.krakow.pl/lokal/320";"Drukarnia - Podgórze";"ul. Nadwiœlañska 1"
"http://knajpy.krakow.pl/lokal/253";"Frantic Music Club";"ul. Szewska 5"
"http://knajpy.krakow.pl/lokal/200";"Café Larousse";"ul. Œw. Tomasza 22"
"http://knajpy.krakow.pl/lokal/74";"Café Numero";"Rynek G³ówny 6"
"http://knajpy.krakow.pl/lokal/357";"Bafomet Club";"ul. Szewska 9"
"http://knajpy.krakow.pl/lokal/229";"Baraka";"ul. Warszauera 1 (pl. Nowy)"
"http://knajpy.krakow.pl/lokal/272";"Barrock";"ul. W¹ska 2"
"http://knajpy.krakow.pl/lokal/125";"Biesiada Klub";"ul. Senacka 7"
"http://knajpy.krakow.pl/lokal/216";"Café Rêkawka";"ul. Brodziñskiego 4b"
"http://knajpy.krakow.pl/lokal/156";"Café Szafé";"ul. Felicjanek 10"
"http://knajpy.krakow.pl/lokal/1";"Cafe Botanica";"ul. Bracka 9"
"http://knajpy.krakow.pl/lokal/162";"Cafe Cabaret";"ul. Jab³onowskich 6"
"http://knajpy.krakow.pl/lokal/80";"Black Gallery";"ul. Miko³ajska 24"
"http://knajpy.krakow.pl/lokal/360";"Bomba";"Plac Szczepañski 2/1"
"http://knajpy.krakow.pl/lokal/256";"Boogie Cafe Bar";"ul. Szpitalna 9 (wejscie od ul. œw.Tomasza)"
